INDEX,aes_CBC_dataA, aes_CBC_dataB 
0, 208, 99 
1, 131, 49 
2, 119, 241 
3, 103, 198 
4, 195, 227 
5, 70, 171 
6, 181, 34 
7, 32, 239 
8, 201, 19 
9, 233, 108 
10, 191, 119 
11, 237, 170 
12, 143, 132 
13, 147, 246 
14, 143, 189 
15, 199, 49 
16, 102, 165 
17, 193, 242 
18, 104, 1 
19, 80, 25 
20, 246, 132 
21, 8, 10 
22, 191, 108 
23, 125, 207 
24, 91, 143 
25, 233, 33 
26, 223, 131 
27, 47, 164 
28, 232, 130 
29, 157, 244 
30, 150, 137 
31, 227, 143 
32, 187, 167 
33, 227, 83 
34, 100, 190 
35, 50, 25 
36, 245, 254 
37, 37, 157 
38, 198, 142 
39, 56, 144 
40, 234, 223 
41, 125, 103 
42, 43, 80 
43, 43, 81 
44, 66, 167 
45, 8, 217 
46, 41, 242 
47, 190, 241 
48, 134, 205 
49, 137, 157 
50, 111, 245 
51, 80, 62 
52, 223, 56 
53, 187, 189 
54, 247, 137 
55, 149, 198 
56, 150, 231 
57, 203, 140 
58, 252, 221 
59, 70, 197 
60, 234, 219 
61, 53, 73 
62, 250, 155 
63, 187, 28 
64, 175, 119 
65, 167, 248 
66, 211, 39 
67, 8, 212 
68, 255, 215 
69, 138, 242 
70, 243, 80 
71, 231, 135 
72, 155, 228 
73, 249, 189 
74, 168, 131 
75, 210, 82 
76, 212, 240 
77, 55, 51 
78, 147, 250 
79, 236, 245 
80, 125, 200 
81, 137, 151 
82, 79, 230 
83, 111, 173 
84, 97, 1 
85, 110, 28 
86, 69, 114 
87, 30, 183 
88, 81, 140 
89, 173, 92 
90, 247, 252 
91, 80, 45 
92, 213, 60 
93, 150, 79 
94, 20, 202 
95, 128, 202 
96, 151, 100 
97, 53, 126 
98, 59, 70 
99, 151, 152 
100, 13, 89 
101, 213, 175 
102, 127, 157 
103, 120, 63 
104, 99, 180 
105, 109, 140 
106, 176, 114 
107, 42, 204 
108, 132, 99 
109, 94, 8 
110, 215, 243 
111, 77, 140 
112, 251, 224 
113, 24, 102 
114, 24, 83 
115, 254, 25 
116, 240, 96 
117, 172, 80 
118, 218, 29 
119, 168, 81 
120, 188, 152 
121, 155, 101 
122, 127, 110 
123, 65, 36 
124, 1, 136 
125, 203, 237 
126, 35, 108 
127, 246, 80 
128, 80, 105 
129, 96, 152 
130, 203, 53 
131, 107, 155 
132, 170, 175 
133, 114, 54 
134, 207, 231 
135, 129, 234 
136, 132, 186 
137, 60, 23 
138, 1, 93 
139, 93, 210 
140, 207, 45 
141, 17, 21 
142, 122, 0 
143, 76, 9 
144, 242, 206 
145, 191, 4 
146, 105, 112 
147, 43, 44 
148, 234, 109 
149, 170, 244 
150, 14, 168 
151, 102, 199 
152, 176, 162 
153, 31, 127 
154, 75, 80 
155, 160, 218 
156, 203, 99 
157, 99, 107 
158, 128, 7 
159, 204, 1 
160, 214, 201 
161, 97, 23 
162, 41, 123 
163, 44, 179 
164, 60, 226 
165, 82, 38 
166, 237, 60 
167, 50, 210 
168, 169, 159 
169, 198, 89 
170, 28, 129 
171, 55, 25 
172, 241, 19 
173, 77, 99 
174, 162, 160 
175, 108, 201 
176, 71, 39 
177, 123, 17 
178, 42, 237 
179, 222, 121 
180, 110, 78 
181, 148, 86 
182, 182, 0 
183, 230, 153 
184, 159, 254 
185, 177, 11 
186, 190, 229 
187, 49, 42 
188, 34, 195 
189, 157, 20 
190, 20, 204 
191, 100, 60 
192, 67, 161 
193, 104, 46 
194, 255, 27 
195, 18, 126 
196, 128, 58 
197, 234, 217 
