INDEX,chaos_ECB_dataA, chaos_ECB_dataB 
0, 184, 55 
1, 61, 150 
2, 101, 6 
3, 60, 52 
4, 63, 214 
5, 80, 101 
6, 198, 153 
7, 189, 217 
8, 57, 39 
9, 95, 110 
10, 173, 62 
11, 192, 200 
12, 219, 151 
13, 232, 200 
14, 229, 191 
15, 230, 244 
16, 53, 202 
17, 212, 102 
18, 255, 144 
19, 187, 57 
20, 72, 4 
21, 96, 199 
22, 38, 150 
23, 202, 1 
24, 107, 98 
25, 105, 89 
26, 209, 65 
27, 132, 198 
28, 253, 38 
29, 78, 237 
30, 129, 74 
31, 99, 226 
32, 191, 244 
33, 33, 72 
34, 202, 148 
35, 245, 125 
36, 89, 240 
37, 59, 59 
38, 143, 160 
39, 38, 153 
40, 76, 39 
41, 23, 64 
42, 137, 15 
43, 69, 56 
44, 126, 31 
45, 254, 23 
46, 118, 170 
47, 101, 27 
48, 17, 148 
49, 153, 137 
50, 154, 59 
51, 130, 87 
52, 226, 143 
53, 164, 154 
54, 224, 50 
55, 243, 132 
56, 91, 199 
57, 173, 14 
58, 39, 228 
59, 170, 78 
60, 52, 49 
61, 68, 165 
62, 192, 14 
63, 113, 23 
64, 246, 98 
65, 182, 237 
66, 242, 84 
67, 225, 167 
68, 25, 89 
69, 253, 105 
70, 33, 190 
71, 90, 55 
72, 131, 121 
73, 188, 94 
74, 50, 37 
75, 178, 186 
76, 207, 95 
77, 56, 19 
78, 104, 228 
79, 88, 86 
80, 39, 144 
81, 186, 254 
82, 124, 201 
83, 180, 53 
84, 84, 199 
85, 251, 123 
86, 216, 221 
87, 242, 87 
88, 234, 208 
89, 199, 189 
90, 158, 165 
91, 42, 170 
92, 168, 231 
93, 214, 15 
94, 26, 73 
95, 51, 223 
96, 130, 122 
97, 117, 28 
98, 236, 183 
99, 57, 251 
100, 147, 231 
101, 216, 176 
102, 227, 165 
103, 87, 193 
104, 58, 27 
105, 44, 244 
106, 129, 190 
107, 163, 184 
108, 83, 157 
109, 222, 157 
110, 148, 164 
111, 63, 27 
112, 112, 82 
113, 227, 49 
114, 8, 186 
115, 229, 248 
116, 86, 175 
117, 109, 211 
118, 108, 5 
119, 65, 119 
120, 250, 110 
121, 70, 40 
122, 102, 246 
