chaos_ECB_gray_value, chaos_ECB_count 
0, 246 
1, 265 
2, 256 
3, 277 
4, 274 
5, 251 
6, 248 
7, 267 
8, 257 
9, 238 
10, 265 
11, 279 
12, 255 
13, 277 
14, 279 
15, 255 
16, 249 
17, 267 
18, 247 
19, 258 
20, 288 
21, 233 
22, 241 
23, 251 
24, 234 
25, 281 
26, 262 
27, 232 
28, 266 
29, 242 
30, 262 
31, 270 
32, 232 
33, 235 
34, 230 
35, 250 
36, 263 
37, 250 
38, 257 
39, 272 
40, 263 
41, 252 
42, 251 
43, 256 
44, 269 
45, 265 
46, 272 
47, 267 
48, 247 
49, 253 
50, 234 
51, 240 
52, 285 
53, 252 
54, 274 
55, 242 
56, 248 
57, 260 
58, 250 
59, 231 
60, 256 
61, 255 
62, 289 
63, 266 
64, 253 
65, 253 
66, 274 
67, 237 
68, 252 
69, 265 
70, 265 
71, 259 
72, 250 
73, 296 
74, 264 
75, 253 
76, 264 
77, 241 
78, 259 
79, 265 
80, 257 
81, 277 
82, 271 
83, 264 
84, 275 
85, 245 
86, 261 
87, 262 
88, 264 
89, 248 
90, 240 
91, 244 
92, 249 
93, 255 
94, 245 
95, 251 
96, 260 
97, 248 
98, 230 
99, 255 
100, 229 
101, 253 
102, 261 
103, 242 
104, 252 
105, 236 
106, 249 
107, 259 
108, 259 
109, 275 
110, 245 
111, 239 
112, 294 
113, 256 
114, 267 
115, 259 
116, 257 
117, 253 
118, 279 
119, 237 
120, 258 
121, 242 
122, 246 
123, 276 
124, 245 
125, 278 
126, 244 
127, 243 
128, 269 
129, 296 
130, 257 
131, 261 
132, 267 
133, 260 
134, 240 
135, 257 
136, 251 
137, 270 
138, 259 
139, 237 
140, 289 
141, 239 
142, 247 
143, 235 
144, 259 
145, 246 
146, 263 
147, 279 
148, 247 
149, 260 
150, 268 
151, 275 
152, 280 
153, 265 
154, 246 
155, 295 
156, 254 
157, 271 
158, 270 
159, 241 
160, 249 
161, 265 
162, 285 
163, 263 
164, 251 
165, 268 
166, 239 
167, 272 
168, 250 
169, 261 
170, 272 
171, 261 
172, 244 
173, 255 
174, 264 
175, 251 
176, 285 
177, 266 
178, 267 
179, 241 
180, 259 
181, 274 
182, 252 
183, 231 
184, 224 
185, 256 
186, 282 
187, 270 
188, 251 
189, 252 
190, 286 
191, 257 
192, 254 
193, 274 
194, 234 
195, 248 
196, 305 
197, 246 
198, 266 
199, 282 
200, 232 
201, 248 
202, 249 
203, 249 
204, 233 
205, 212 
206, 228 
207, 253 
208, 285 
209, 256 
210, 232 
211, 263 
212, 247 
213, 282 
214, 250 
215, 231 
216, 278 
217, 243 
218, 243 
219, 249 
220, 259 
221, 249 
222, 267 
223, 223 
224, 259 
225, 261 
226, 227 
227, 251 
228, 255 
229, 251 
230, 270 
231, 252 
232, 249 
233, 245 
234, 268 
235, 253 
236, 249 
237, 253 
238, 230 
239, 254 
240, 264 
241, 227 
242, 279 
243, 241 
244, 255 
245, 245 
246, 281 
247, 230 
248, 243 
249, 239 
250, 251 
251, 237 
252, 246 
253, 247 
254, 231 
255, 245 
