INDEX,org_dataA, org_dataB 
0, 162, 162 
1, 162, 160 
2, 162, 158 
3, 159, 157 
4, 156, 157 
5, 156, 157 
6, 157, 157 
7, 158, 157 
8, 157, 156 
9, 156, 156 
10, 156, 155 
11, 157, 154 
12, 155, 156 
13, 155, 158 
14, 158, 158 
15, 158, 158 
16, 157, 159 
17, 160, 159 
18, 159, 161 
19, 161, 162 
20, 163, 160 
21, 160, 160 
22, 161, 161 
23, 163, 161 
24, 163, 161 
25, 161, 159 
26, 161, 161 
27, 160, 160 
28, 160, 162 
29, 161, 163 
30, 161, 165 
31, 163, 170 
32, 165, 173 
33, 168, 173 
34, 170, 171 
35, 173, 171 
36, 172, 169 
37, 172, 165 
38, 169, 162 
39, 165, 159 
40, 162, 156 
41, 160, 150 
42, 154, 144 
43, 150, 136 
44, 144, 127 
45, 136, 116 
46, 127, 102 
47, 117, 91 
48, 103, 85 
49, 92, 84 
50, 88, 87 
51, 89, 87 
52, 86, 86 
53, 87, 89 
54, 91, 92 
55, 92, 94 
56, 93, 93 
57, 92, 89 
58, 89, 90 
59, 93, 89 
60, 88, 89 
61, 90, 91 
62, 93, 92 
63, 93, 94 
64, 93, 96 
65, 95, 98 
66, 97, 98 
67, 99, 100 
68, 101, 100 
69, 100, 100 
70, 100, 100 
71, 101, 101 
72, 100, 99 
73, 99, 99 
74, 102, 98 
75, 103, 96 
76, 97, 99 
77, 96, 97 
78, 97, 97 
79, 97, 97 
80, 97, 101 
81, 96, 99 
82, 96, 98 
83, 97, 96 
84, 95, 97 
85, 97, 98 
86, 99, 99 
87, 99, 98 
88, 99, 100 
89, 99, 99 
90, 100, 100 
91, 98, 101 
92, 99, 102 
93, 101, 105 
94, 106, 105 
95, 105, 105 
96, 107, 105 
97, 110, 107 
98, 108, 107 
99, 106, 106 
100, 105, 108 
101, 110, 107 
102, 107, 108 
103, 109, 108 
104, 108, 108 
105, 108, 109 
106, 107, 107 
107, 107, 105 
108, 108, 106 
109, 106, 106 
110, 105, 104 
111, 103, 104 
112, 101, 105 
113, 102, 107 
114, 105, 106 
115, 105, 106 
116, 105, 105 
117, 103, 103 
118, 101, 104 
119, 101, 104 
120, 102, 103 
121, 99, 102 
122, 102, 101 
123, 99, 102 
124, 101, 103 
125, 104, 101 
126, 101, 101 
127, 99, 102 
128, 100, 103 
129, 100, 100 
130, 96, 95 
131, 96, 99 
132, 97, 99 
133, 99, 99 
134, 100, 100 
135, 102, 101 
136, 99, 101 
137, 101, 104 
138, 105, 102 
139, 103, 103 
140, 103, 101 
141, 101, 99 
142, 101, 96 
143, 99, 93 
144, 94, 93 
145, 91, 90 
146, 89, 85 
147, 86, 83 
148, 84, 80 
149, 83, 79 
150, 80, 76 
151, 76, 77 
152, 77, 76 
153, 81, 78 
154, 79, 79 
155, 79, 81 
156, 81, 80 
157, 81, 81 
158, 83, 86 
159, 85, 84 
160, 88, 83 
161, 84, 81 
162, 80, 82 
163, 79, 81 
164, 78, 80 
165, 78, 81 
166, 80, 78 
167, 80, 75 
168, 75, 74 
169, 74, 72 
170, 73, 69 
171, 72, 64 
172, 71, 62 
173, 69, 59 
174, 59, 56 
175, 57, 56 
176, 55, 57 
177, 55, 57 
178, 55, 56 
179, 56, 53 
180, 58, 50 
181, 53, 51 
182, 57, 50 
183, 51, 50 
184, 53, 51 
185, 53, 49 
186, 48, 48 
187, 46, 48 
188, 47, 47 
189, 47, 47 
190, 49, 48 
191, 51, 46 
192, 44, 45 
193, 47, 50 
194, 48, 55 
195, 53, 59 
196, 57, 69 
197, 70, 91 
198, 101, 118 
199, 124, 131 
200, 131, 134 
201, 138, 135 
202, 137, 133 
203, 134, 134 
204, 128, 131 
205, 127, 123 
206, 123, 105 
207, 96, 83 
208, 67, 65 
209, 46, 50 
210, 38, 42 
211, 35, 36 
212, 33, 38 
213, 35, 40 
214, 34, 36 
215, 33, 33 
216, 31, 32 
217, 31, 32 
218, 32, 32 
219, 30, 32 
220, 31, 31 
221, 32, 30 
222, 31, 31 
223, 32, 33 
224, 33, 36 
225, 37, 36 
226, 36, 41 
227, 42, 38 
228, 41, 38 
229, 39, 38 
230, 39, 35 
231, 37, 36 
232, 36, 33 
233, 34, 36 
234, 38, 40 
235, 42, 49 
236, 48, 68 
237, 55, 87 
238, 82, 92 
239, 91, 90 
240, 86, 90 
241, 84, 86 
242, 72, 83 
243, 62, 75 
244, 53, 63 
245, 46, 56 
246, 46, 54 
247, 49, 57 
248, 54, 59 
249, 54, 56 
250, 51, 55 
251, 49, 52 
252, 49, 51 
253, 50, 49 
254, 46, 54 
256, 162, 160 
257, 162, 160 
258, 160, 159 
259, 158, 157 
260, 157, 156 
261, 157, 157 
262, 157, 157 
263, 157, 156 
264, 157, 157 
265, 156, 156 
266, 156, 154 
267, 155, 155 
268, 154, 157 
269, 156, 158 
270, 158, 158 
271, 158, 158 
272, 158, 158 
273, 159, 159 
274, 159, 160 
275, 161, 161 
276, 162, 162 
277, 160, 161 
278, 160, 162 
279, 161, 161 
280, 161, 160 
281, 161, 160 
282, 159, 161 
283, 161, 162 
284, 160, 165 
285, 162, 168 
286, 163, 170 
287, 165, 174 
288, 170, 175 
289, 173, 172 
290, 173, 170 
291, 171, 168 
292, 171, 164 
293, 169, 161 
294, 165, 156 
295, 162, 151 
296, 159, 147 
297, 156, 141 
298, 150, 130 
299, 144, 118 
300, 136, 106 
301, 127, 95 
302, 116, 85 
303, 102, 84 
304, 91, 86 
305, 85, 88 
306, 84, 89 
307, 87, 90 
308, 87, 90 
309, 86, 91 
310, 89, 91 
311, 92, 91 
312, 94, 91 
313, 93, 90 
314, 89, 89 
315, 90, 89 
316, 89, 90 
317, 89, 92 
318, 91, 93 
319, 92, 95 
320, 94, 96 
321, 96, 98 
322, 98, 99 
323, 98, 98 
324, 100, 101 
325, 100, 100 
326, 100, 99 
327, 100, 100 
328, 101, 100 
329, 99, 98 
330, 99, 97 
331, 98, 97 
332, 96, 100 
333, 99, 97 
334, 97, 96 
335, 97, 94 
336, 97, 96 
337, 101, 97 
338, 99, 99 
339, 98, 98 
340, 96, 97 
341, 97, 99 
342, 98, 98 
343, 99, 97 
344, 98, 99 
345, 100, 101 
346, 99, 102 
347, 100, 102 
348, 101, 103 
349, 102, 104 
350, 105, 107 
