aes_CBC_gray_value, aes_CBC_count 
0, 267 
1, 228 
2, 233 
3, 267 
4, 263 
5, 247 
6, 245 
7, 276 
8, 276 
9, 262 
10, 260 
11, 253 
12, 250 
13, 247 
14, 266 
15, 245 
16, 243 
17, 242 
18, 271 
19, 234 
20, 251 
21, 244 
22, 253 
23, 270 
24, 272 
25, 221 
26, 270 
27, 249 
28, 269 
29, 248 
30, 275 
31, 237 
32, 255 
33, 273 
34, 246 
35, 271 
36, 268 
37, 285 
38, 252 
39, 244 
40, 249 
41, 273 
42, 246 
43, 238 
44, 277 
45, 266 
46, 295 
47, 252 
48, 269 
49, 257 
50, 241 
51, 260 
52, 232 
53, 282 
54, 257 
55, 282 
56, 257 
57, 254 
58, 253 
59, 240 
60, 258 
61, 293 
62, 244 
63, 261 
64, 251 
65, 259 
66, 289 
67, 273 
68, 267 
69, 279 
70, 284 
71, 249 
72, 281 
73, 257 
74, 285 
75, 232 
76, 282 
77, 274 
78, 234 
79, 237 
80, 246 
81, 246 
82, 269 
83, 268 
84, 241 
85, 239 
86, 250 
87, 256 
88, 265 
89, 231 
90, 241 
91, 290 
92, 222 
93, 246 
94, 257 
95, 250 
96, 257 
97, 243 
98, 239 
99, 242 
100, 268 
101, 235 
102, 285 
103, 289 
104, 253 
105, 239 
106, 240 
107, 261 
108, 236 
109, 260 
110, 258 
111, 225 
112, 253 
113, 241 
114, 257 
115, 222 
116, 266 
117, 270 
118, 232 
119, 261 
120, 256 
121, 240 
122, 236 
123, 281 
124, 241 
125, 261 
126, 259 
127, 247 
128, 260 
129, 250 
130, 234 
131, 250 
132, 249 
133, 277 
134, 268 
135, 245 
136, 266 
137, 273 
138, 257 
139, 226 
140, 297 
141, 271 
142, 263 
143, 256 
144, 273 
145, 279 
146, 252 
147, 274 
148, 224 
149, 287 
150, 274 
151, 259 
152, 222 
153, 238 
154, 250 
155, 267 
156, 239 
157, 244 
158, 229 
159, 236 
160, 236 
161, 243 
162, 212 
163, 268 
164, 259 
165, 254 
166, 252 
167, 255 
168, 247 
169, 230 
170, 273 
171, 243 
172, 269 
173, 267 
174, 268 
175, 244 
176, 225 
177, 257 
178, 257 
179, 282 
180, 248 
181, 231 
182, 265 
183, 260 
184, 299 
185, 268 
186, 251 
187, 288 
188, 264 
189, 238 
190, 249 
191, 263 
192, 234 
193, 261 
194, 263 
195, 276 
196, 242 
197, 243 
198, 242 
199, 251 
200, 247 
201, 268 
202, 261 
203, 259 
204, 291 
205, 236 
206, 240 
207, 265 
208, 254 
209, 260 
210, 244 
211, 253 
212, 276 
213, 270 
214, 251 
215, 253 
216, 242 
217, 239 
218, 217 
219, 251 
220, 232 
221, 262 
222, 282 
223, 281 
224, 269 
225, 246 
226, 232 
227, 265 
228, 240 
229, 286 
230, 242 
231, 231 
232, 253 
233, 243 
234, 271 
235, 267 
236, 267 
237, 263 
238, 250 
239, 281 
240, 248 
241, 275 
242, 259 
243, 262 
244, 267 
245, 257 
246, 271 
247, 246 
248, 272 
249, 272 
250, 258 
251, 257 
252, 269 
253, 263 
254, 253 
255, 234 
