aes_ECB_gray_value, aes_ECB_count 
0, 279 
1, 276 
2, 288 
3, 236 
4, 279 
5, 229 
6, 263 
7, 300 
8, 273 
9, 263 
10, 261 
11, 247 
12, 236 
13, 302 
14, 258 
15, 257 
16, 250 
17, 270 
18, 250 
19, 251 
20, 243 
21, 242 
22, 270 
23, 281 
24, 235 
25, 242 
26, 262 
27, 241 
28, 274 
29, 277 
30, 275 
31, 248 
32, 262 
33, 262 
34, 272 
35, 258 
36, 232 
37, 255 
38, 270 
39, 255 
40, 282 
41, 262 
42, 261 
43, 282 
44, 248 
45, 269 
46, 242 
47, 224 
48, 276 
49, 255 
50, 230 
51, 254 
52, 247 
53, 242 
54, 247 
55, 264 
56, 254 
57, 266 
58, 266 
59, 275 
60, 277 
61, 248 
62, 270 
63, 262 
64, 247 
65, 281 
66, 237 
67, 239 
68, 252 
69, 267 
70, 237 
71, 247 
72, 245 
73, 257 
74, 233 
75, 260 
76, 282 
77, 236 
78, 243 
79, 237 
80, 254 
81, 248 
82, 275 
83, 268 
84, 230 
85, 257 
86, 254 
87, 217 
88, 244 
89, 268 
90, 224 
91, 260 
92, 261 
93, 235 
94, 267 
95, 261 
96, 238 
97, 243 
98, 253 
99, 248 
100, 244 
101, 263 
102, 256 
103, 264 
104, 235 
105, 251 
106, 262 
107, 254 
108, 259 
109, 253 
110, 256 
111, 256 
112, 256 
113, 247 
114, 263 
115, 256 
116, 245 
117, 280 
118, 283 
119, 234 
120, 245 
121, 277 
122, 275 
123, 240 
124, 240 
125, 267 
126, 245 
127, 295 
128, 246 
129, 265 
130, 262 
131, 257 
132, 257 
133, 283 
134, 269 
135, 241 
136, 260 
137, 255 
138, 241 
139, 224 
140, 237 
141, 247 
142, 285 
143, 262 
144, 225 
145, 214 
146, 248 
147, 248 
148, 260 
149, 254 
150, 255 
151, 240 
152, 248 
153, 278 
154, 261 
155, 253 
156, 247 
157, 249 
158, 254 
159, 211 
160, 236 
161, 259 
162, 259 
163, 265 
164, 292 
165, 244 
166, 266 
167, 271 
168, 271 
169, 273 
170, 280 
171, 265 
172, 245 
173, 228 
174, 267 
175, 239 
176, 260 
177, 259 
178, 252 
179, 290 
180, 275 
181, 235 
182, 264 
183, 234 
184, 274 
185, 242 
186, 266 
187, 261 
188, 247 
189, 279 
190, 255 
191, 243 
192, 234 
193, 278 
194, 259 
195, 264 
196, 247 
197, 264 
198, 257 
199, 234 
200, 221 
201, 246 
202, 254 
203, 267 
204, 257 
205, 243 
206, 269 
207, 284 
208, 246 
209, 259 
210, 272 
211, 261 
212, 246 
213, 260 
214, 250 
215, 260 
216, 268 
217, 261 
218, 233 
219, 258 
220, 262 
221, 226 
222, 273 
223, 255 
224, 253 
225, 270 
226, 263 
227, 251 
228, 262 
229, 252 
230, 250 
231, 267 
232, 252 
233, 261 
234, 253 
235, 237 
236, 248 
237, 230 
238, 257 
239, 262 
240, 260 
241, 270 
242, 249 
243, 265 
244, 242 
245, 257 
246, 241 
247, 254 
248, 262 
249, 266 
250, 278 
251, 269 
252, 243 
253, 267 
254, 255 
255, 257 
