chaos_CBC_gray_value, chaos_CBC_count 
0, 260 
1, 257 
2, 254 
3, 247 
4, 232 
5, 236 
6, 235 
7, 247 
8, 258 
9, 250 
10, 256 
11, 267 
12, 240 
13, 286 
14, 247 
15, 266 
16, 242 
17, 252 
18, 258 
19, 270 
20, 249 
21, 234 
22, 246 
23, 276 
24, 252 
25, 260 
26, 255 
27, 280 
28, 267 
29, 243 
30, 259 
31, 251 
32, 237 
33, 269 
34, 234 
35, 277 
36, 241 
37, 245 
38, 260 
39, 269 
40, 242 
41, 267 
42, 248 
43, 258 
44, 236 
45, 270 
46, 250 
47, 276 
48, 226 
49, 271 
50, 265 
51, 271 
52, 277 
53, 257 
54, 240 
55, 235 
56, 254 
57, 280 
58, 270 
59, 255 
60, 228 
61, 244 
62, 251 
63, 239 
64, 251 
65, 257 
66, 287 
67, 274 
68, 272 
69, 269 
70, 268 
71, 259 
72, 261 
73, 244 
74, 217 
75, 265 
76, 258 
77, 249 
78, 236 
79, 270 
80, 233 
81, 247 
82, 258 
83, 226 
84, 263 
85, 267 
86, 247 
87, 265 
88, 276 
89, 278 
90, 279 
91, 253 
92, 254 
93, 232 
94, 244 
95, 254 
96, 257 
97, 230 
98, 266 
99, 268 
100, 273 
101, 274 
102, 259 
103, 264 
104, 246 
105, 245 
106, 257 
107, 276 
108, 244 
109, 260 
110, 251 
111, 266 
112, 262 
113, 257 
114, 259 
115, 255 
116, 243 
117, 249 
118, 280 
119, 233 
120, 235 
121, 255 
122, 225 
123, 281 
124, 254 
125, 240 
126, 251 
127, 285 
128, 263 
129, 252 
130, 262 
131, 270 
132, 248 
133, 266 
134, 284 
135, 253 
136, 244 
137, 259 
138, 249 
139, 254 
140, 246 
141, 247 
142, 282 
143, 243 
144, 245 
145, 262 
146, 279 
147, 262 
148, 246 
149, 259 
150, 272 
151, 245 
152, 244 
153, 276 
154, 267 
155, 225 
156, 253 
157, 252 
158, 249 
159, 267 
160, 247 
161, 279 
162, 254 
163, 256 
164, 267 
165, 246 
166, 264 
167, 278 
168, 291 
169, 251 
170, 259 
171, 264 
172, 244 
173, 261 
174, 239 
175, 257 
176, 259 
177, 265 
178, 246 
179, 267 
180, 278 
181, 253 
182, 244 
183, 271 
184, 255 
185, 274 
186, 270 
187, 271 
188, 250 
189, 267 
190, 250 
191, 272 
192, 267 
193, 239 
194, 251 
195, 243 
196, 265 
197, 259 
198, 265 
199, 228 
200, 246 
201, 261 
202, 224 
203, 231 
204, 239 
205, 264 
206, 254 
207, 258 
208, 262 
209, 254 
210, 239 
211, 271 
212, 256 
213, 264 
214, 228 
215, 237 
216, 253 
217, 237 
218, 254 
219, 250 
220, 271 
221, 248 
222, 257 
223, 272 
224, 290 
225, 259 
226, 262 
227, 263 
228, 284 
229, 265 
230, 257 
231, 243 
232, 239 
233, 280 
234, 275 
235, 259 
236, 272 
237, 239 
238, 242 
239, 231 
240, 274 
241, 278 
242, 245 
243, 274 
244, 253 
245, 289 
246, 222 
247, 220 
248, 258 
249, 230 
250, 253 
251, 264 
252, 260 
253, 244 
254, 265 
255, 239 
